model,test_r2,test_mae,test_rmse,cv_r2_mean,cv_r2_std
Polynomial Regression (deg=2),0.9869181490609604,0.526179444404374,0.642580912055362,0.977834707182532,0.017043090559078055
Random Forest,0.9766889646812894,0.6816894256819247,0.8577762229694191,0.958032057348565,0.012919449971649566
Ridge Regression,0.89943810463304,1.460765611286965,1.7815989481622216,0.8702646848289435,0.07184309430516331
Linear Regression,0.899438024100912,1.4607567168117606,1.7815996615334502,0.8702645398521053,0.07184410818459881
